B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
200,200,1.87,600,282,64.8,2920
250,250,1.87,750,282,48,3304
250,250,1.87,750,282,48,3400
60,60,2,180,404,40.72,318
60,60,2,180,404,40.72,322
100,100,2,300,404,40.72,770
100,100,2,300,404,40.72,772
150,150,2,450,404,40.72,1300
150,150,2,450,404,40.72,1420
200,200,2,600,404,40.72,1990
200,200,2,600,404,40.72,2054
250,250,2,750,404,40.72,3100
250,250,2,750,404,40.72,2965
60,60,2,180,404,64.8,422
60,60,2,180,404,64.8,406
150,150,2,450,404,64.8,2060
150,150,2,450,404,64.8,1980
